~ date ~ 	;~ came ~ 	;~ left ~ 	;~ pres.~ 	;~ abs. ~ 	;~t.pres~ 	;~t.abs.~ 	;~ busy ~ 	;~ down ~ 	;
22.03.2013	;18:15:14	;18:15:32	;00:00:13	;00:00:06	;
22.03.2013	;18:15:33	;18:16:31	;00:00:52	;00:00:05	;
22.03.2013	;18:16:31	;18:16:58	;00:00:21	;00:00:05	;
22.03.2013	;18:16:58	;18:17:03	;00:00:04	;00:00:00	;
22.03.2013	;18:17:04	;18:17:20	;00:00:06	;00:00:16	;
22.03.2013	;18:17:27	;18:17:39	;00:00:01	;00:00:17	;
22.03.2013	;18:17:46	;18:17:57	;00:00:00	;00:00:16	;
22.03.2013	;18:18:04	;18:18:30	;00:00:25	;00:00:16	;00:02:06	;00:01:09	;00:00:37	;18:18:30	;

22.03.2013	;19:37:49	;19:38:12	;00:00:22	;00:01:34	;
22.03.2013	;19:39:47	;19:42:55	;00:03:08	;00:01:34	;00:03:31	;00:01:34	;00:01:15	;19:42:55	;

22.03.2013	;21:01:10	;21:01:22	;00:00:12	;00:00:00	;00:00:12	;00:00:16	;00:00:06	;21:01:38	;

22.03.2013	;21:01:38	;21:05:03	;00:03:39	;00:00:00	;00:03:39	;00:00:01	;00:00:43	;21:05:04	;

22.03.2013	;21:05:04	;21:05:04	;00:00:00	;00:00:00	;00:00:00	;00:00:00	;00:00:00	;21:05:04	;

22.03.2013	;21:05:04	;21:05:04	;00:00:00	;00:00:00	;00:00:00	;00:00:00	;00:00:00	;21:05:04	;

22.03.2013	;21:05:30	;21:05:32	;00:00:03	;00:00:00	;00:00:03	;00:00:00	;00:00:00	;21:05:33	;

22.03.2013	;21:05:33	;21:05:33	;00:00:00	;00:00:00	;00:00:00	;00:00:00	;00:00:00	;21:05:33	;

22.03.2013	;21:05:33	;21:05:33	;00:00:00	;00:00:00	;00:00:00	;00:00:00	;00:00:00	;21:05:33	;

22.03.2013	;21:06:15	;21:06:17	;00:00:02	;00:00:00	;00:00:02	;00:00:00	;00:00:00	;21:06:17	;

22.03.2013	;21:06:17	;21:06:17	;00:00:00	;00:00:00	;00:00:00	;00:00:00	;00:00:00	;21:06:17	;

22.03.2013	;21:06:20	;21:06:20	;00:00:00	;00:00:00	;00:00:00	;00:00:00	;00:00:00	;21:06:20	;

22.03.2013	;21:09:45	;21:09:48	;00:00:03	;00:00:00	;00:00:03	;00:00:00	;00:00:01	;21:09:49	;
